"x","year","month","yearmon","region","homicide","homicide_us","offences_against_the_person","offences_against_the_person_us","sexual_offences","sexual_offences_us","burglary","burglary_us","robbery","robbery_us","theft_and_handling","theft_and_handling_us","fraud_and_forgery","fraud_and_forgery_us","criminal_damage","criminal_damage_us","drugs_offences","drugs_offences_us","public_order_offences","public_order_offences_us","all_other_offences__excluding_motoring_","all_other_offences__excluding_motoring__us","motoring_offences","motoring_offences_us","admin_finalised_us"
"West Midlands","2015","feb","2015-02-01","West",0,2,461,154,41,13,79,14,42,13,647,57,35,10,88,12,216,18,137,22,132,31,310,41,23
"West Yorkshire","2015","feb","2015-02-01","North",4,0,466,126,42,16,78,20,24,0,378,33,22,8,104,19,116,7,115,30,52,13,302,66,17
"Wiltshire","2015","feb","2015-02-01","West",0,0,108,26,9,5,6,2,0,1,94,11,3,1,33,4,26,0,59,5,5,1,66,8,3
"National","2015","mar","2015-03-01","All",57,12,10309,3347,946,368,1621,263,496,162,10367,918,817,162,2536,416,4497,324,4102,781,2017,398,8279,1481,628
"Avon and Somerset","2015","mar","2015-03-01","West",0,0,277,71,54,15,49,3,5,1,338,23,23,4,74,14,94,6,124,11,72,9,244,58,27
"Bedfordshire","2015","mar","2015-03-01","East",0,0,125,32,4,1,17,1,7,2,106,10,11,8,15,2,47,4,49,13,18,2,74,6,8
"Cambridgeshire","2015","mar","2015-03-01","East",0,0,110,29,6,3,15,2,3,1,108,4,7,1,22,3,46,5,32,4,9,5,71,9,9
"Cheshire","2015","mar","2015-03-01","North",0,0,193,40,14,5,33,0,11,5,185,15,20,1,32,3,117,3,63,3,68,8,110,10,7
"Cleveland","2015","mar","2015-03-01","North",0,0,136,40,14,3,29,3,4,1,284,23,11,4,37,10,76,8,111,13,15,0,86,9,4
"Cumbria","2015","mar","2015-03-01","North",1,0,96,18,12,1,14,5,0,0,95,5,7,0,33,3,55,1,51,3,58,5,114,8,2
"Derbyshire","2015","mar","2015-03-01","East",0,0,160,64,34,4,39,4,11,14,201,20,14,2,54,14,73,7,52,19,32,9,99,15,8
"Devon and Cornwall","2015","mar","2015-03-01","West",2,0,205,63,12,2,40,3,14,0,183,14,18,4,71,11,108,5,61,12,89,14,186,16,10
"Dorset","2015","mar","2015-03-01","West",0,0,105,33,11,6,14,2,2,0,103,6,6,1,28,0,40,2,35,6,9,4,77,16,7
"Durham","2015","mar","2015-03-01","North",0,0,128,44,9,9,34,7,3,0,157,8,7,4,45,14,28,4,59,11,6,1,88,11,0
"Dyfed Powys","2015","mar","2015-03-01","West",1,0,64,34,8,0,10,3,0,0,51,10,6,4,14,6,69,3,31,2,2,0,68,16,1
"Essex","2015","mar","2015-03-01","East",0,0,294,93,38,16,45,5,12,4,233,21,23,1,73,5,109,2,51,9,36,11,222,33,20
"Gloucestershire","2015","mar","2015-03-01","West",0,0,74,18,4,0,27,0,5,2,74,9,6,3,22,2,35,2,9,5,26,7,61,7,8
"GreaterManchester","2015","mar","2015-03-01","North",3,0,700,157,52,28,91,9,33,8,473,22,43,5,140,16,207,13,267,45,47,9,373,69,21
"Gwent","2015","mar","2015-03-01","West",2,0,111,30,11,1,12,0,6,1,119,8,8,0,41,4,49,4,66,10,3,0,77,10,2
"Hampshire","2015","mar","2015-03-01","South",3,0,299,79,40,21,41,10,11,1,287,30,12,3,67,12,113,9,107,19,26,10,227,50,13
"Hertfordshire","2015","mar","2015-03-01","East",0,1,208,67,11,1,21,7,10,8,182,18,8,1,28,4,81,4,57,9,18,7,167,42,7
"Humberside","2015","mar","2015-03-01","North",1,1,193,35,23,6,36,5,11,1,237,16,14,1,49,8,66,7,80,9,20,2,123,19,17
"Kent","2015","mar","2015-03-01","South",0,1,267,86,33,9,68,8,15,5,324,24,25,7,67,14,99,8,82,29,77,8,202,20,25
"Lancashire","2015","mar","2015-03-01","North",2,0,323,93,22,15,76,6,20,2,449,41,25,3,104,7,122,4,162,26,115,22,327,56,7
"Leicestershire","2015","mar","2015-03-01","East",0,1,176,50,12,4,33,2,10,1,174,17,19,5,40,4,44,5,40,14,20,4,128,20,10
"Lincolnshire","2015","mar","2015-03-01","East",1,1,107,23,0,0,13,0,3,2,96,10,9,1,26,7,36,3,55,5,14,8,139,26,15
"Merseyside","2015","mar","2015-03-01","North",4,0,318,81,34,14,45,1,8,1,298,10,14,6,63,17,243,17,112,24,112,14,183,35,11
"Metropolitan and City","2015","mar","2015-03-01","South",13,5,1426,675,155,62,216,55,106,30,1285,153,211,40,311,67,1045,89,656,171,489,109,1358,354,146
"Norfolk","2015","mar","2015-03-01","East",0,0,203,35,6,0,18,3,6,0,143,13,4,1,53,7,54,3,106,12,12,2,118,12,9
"Northamptonshire","2015","mar","2015-03-01","East",0,0,122,27,9,11,18,6,6,5,137,15,7,0,37,6,40,0,45,8,19,6,120,12,6
"Northumbria","2015","mar","2015-03-01","North",2,0,254,130,25,6,55,12,10,2,460,49,24,4,113,21,108,10,243,65,73,18,248,52,25
"North Wales","2015","mar","2015-03-01","North",0,0,142,42,16,10,28,4,5,0,136,5,8,2,28,6,36,2,86,3,15,3,86,15,10
"North Yorkshire","2015","mar","2015-03-01","North",0,0,112,22,1,1,23,4,3,1,130,19,14,6,36,4,40,4,55,6,24,3,130,21,4
"Nottinghamshire","2015","mar","2015-03-01","East",0,0,234,83,14,4,25,9,9,1,248,26,11,4,89,14,113,10,96,21,44,10,141,18,19
"South Wales","2015","mar","2015-03-01","West",1,0,323,140,17,14,51,7,10,9,281,26,15,1,86,5,119,12,145,25,8,5,658,79,13
"South Yorkshire","2015","mar","2015-03-01","North",0,0,236,63,10,2,57,8,17,6,338,26,15,2,82,16,96,4,98,8,34,7,157,19,12
"Staffordshire","2015","mar","2015-03-01","West",2,0,225,67,14,6,42,6,10,2,219,21,11,1,58,9,88,4,78,25,33,1,156,47,14
"Suffolk","2015","mar","2015-03-01","East",0,0,139,27,8,1,16,3,1,0,98,5,5,0,38,3,37,2,52,9,7,2,107,17,5
"Surrey","2015","mar","2015-03-01","South",0,0,162,57,7,5,13,5,4,3,93,9,13,2,23,10,64,2,48,15,22,10,121,16,7
"Sussex","2015","mar","2015-03-01","South",1,0,270,67,30,10,30,3,10,3,224,26,27,3,65,13,91,12,83,21,63,9,228,28,16
"Thames Valley","2015","mar","2015-03-01","South",2,0,381,163,45,26,47,7,15,7,321,34,29,4,66,14,142,8,127,25,26,17,258,47,25
"Warwickshire","2015","mar","2015-03-01","West",0,1,66,19,5,1,9,1,2,4,73,9,6,0,10,2,26,2,16,7,25,4,81,20,3
"West Mercia","2015","mar","2015-03-01","West",5,0,223,64,22,8,19,7,7,3,189,12,11,3,46,4,42,2,52,10,35,4,146,17,2
"West Midlands","2015","mar","2015-03-01","West",2,0,513,195,38,15,84,11,46,18,683,45,31,8,120,22,208,17,152,19,135,17,335,69,47
"West Yorkshire","2015","mar","2015-03-01","North",8,1,470,161,51,17,61,26,22,8,447,47,34,12,102,10,152,11,145,21,56,9,314,65,24
"Wiltshire","2015","mar","2015-03-01","West",1,0,139,30,15,5,7,0,3,0,105,14,5,0,28,3,39,4,63,9,5,3,71,12,2
"National","2015","apr","2015-04-01","All",84,11,9554,3111,856,316,1239,229,463,123,9000,808,769,94,2321,392,4078,272,3606,598,1927,305,7768,1338,665
"Avon and Somerset","2015","apr","2015-04-01","West",3,0,262,67,50,20,24,2,11,0,269,18,15,4,82,8,96,1,86,12,56,11,205,49,30
"Bedfordshire","2015","apr","2015-04-01","East",0,0,81,30,3,4,14,2,14,0,54,7,10,2,12,2,31,0,23,2,15,5,51,6,9
"Cambridgeshire","2015","apr","2015-04-01","East",0,0,115,22,6,1,16,0,2,0,87,14,10,2,20,4,50,1,61,5,15,1,87,12,6
"Cheshire","2015","apr","2015-04-01","North",1,0,177,38,18,7,25,0,1,1,149,10,9,0,24,4,95,2,48,8,65,8,105,20,7
"Cleveland","2015","apr","2015-04-01","North",1,0,127,31,9,7,26,4,9,0,285,25,8,0,50,18,84,7,77,24,8,4,69,5,1
"Cumbria","2015","apr","2015-04-01","North",0,0,100,18,5,3,10,0,0,0,94,7,5,0,27,0,40,1,42,3,56,4,95,16,3
"Derbyshire","2015","apr","2015-04-01","East",0,0,166,43,7,0,13,5,4,3,120,8,12,0,44,6,63,4,72,3,26,5,107,10,9
"Devon and Cornwall","2015","apr","2015-04-01","West",0,0,169,60,5,0,22,0,1,0,148,14,3,1,49,10,63,3,39,6,78,5,150,16,22
"Dorset","2015","apr","2015-04-01","West",0,0,101,28,8,1,15,0,3,1,112,5,4,0,26,2,41,0,34,3,1,0,84,10,3
"Durham","2015","apr","2015-04-01","North",0,0,103,29,12,7,27,3,2,0,117,10,16,0,47,7,26,1,47,11,5,1,70,6,3
"Dyfed Powys","2015","apr","2015-04-01","West",0,0,72,25,3,3,7,1,1,0,43,2,2,0,29,9,86,5,35,6,0,1,50,9,4
"Essex","2015","apr","2015-04-01","East",1,0,280,103,38,13,28,4,5,2,159,22,20,5,65,11,57,3,70,8,45,3,193,61,18
"Gloucestershire","2015","apr","2015-04-01","West",0,0,56,28,4,0,11,2,3,0,58,2,3,0,16,1,17,1,27,3,22,2,46,11,10
"GreaterManchester","2015","apr","2015-04-01","North",2,2,644,160,65,30,101,9,48,10,466,36,48,5,126,18,180,19,240,32,62,8,433,61,33
"Gwent","2015","apr","2015-04-01","West",0,1,98,25,5,3,19,3,2,1,106,2,7,1,45,3,47,0,73,9,12,0,85,4,2
"Hampshire","2015","apr","2015-04-01","South",5,0,319,79,43,12,28,7,5,2,214,19,27,1,54,6,78,10,69,11,16,2,248,30,16
"Hertfordshire","2015","apr","2015-04-01","East",0,1,135,43,6,1,9,4,5,0,154,22,12,3,27,6,40,4,48,7,28,7,88,21,26
"Humberside","2015","apr","2015-04-01","North",1,0,154,23,29,10,24,10,9,1,222,13,12,0,50,12,73,3,80,12,34,5,139,19,5
"Kent","2015","apr","2015-04-01","South",4,0,257,76,27,10,25,2,9,5,241,50,17,1,67,10,70,5,68,15,67,11,180,22,24
"Lancashire","2015","apr","2015-04-01","North",1,0,290,75,25,5,45,2,26,0,218,19,16,4,77,18,84,7,109,17,96,12,234,46,16
"Leicestershire","2015","apr","2015-04-01","East",1,0,149,57,18,6,22,1,9,1,147,15,15,1,26,4,46,1,64,7,22,2,120,24,15
"Lincolnshire","2015","apr","2015-04-01","East",2,0,105,18,12,2,20,1,1,0,125,5,6,0,26,6,44,4,34,6,29,1,144,18,7
"Merseyside","2015","apr","2015-04-01","North",2,0,308,95,18,9,33,2,13,7,260,15,10,3,66,8,227,10,59,13,109,12,192,18,11
"Metropolitan and City","2015","apr","2015-04-01","South",38,4,1421,723,124,56,206,65,118,39,1230,152,201,30,335,73,1010,95,578,134,511,93,1225,351,171
"Norfolk","2015","apr","2015-04-01","East",0,0,183,45,6,0,13,2,2,1,133,12,19,3,46,2,48,2,99,13,18,3,125,13,12
"Northamptonshire","2015","apr","2015-04-01","East",0,0,122,39,3,1,4,0,6,2,123,14,7,0,28,9,37,0,42,7,15,1,117,6,6
"Northumbria","2015","apr","2015-04-01","North",1,0,273,123,27,6,38,13,8,4,479,46,15,4,105,20,93,7,210,40,54,15,199,58,7
"North Wales","2015","apr","2015-04-01","North",0,0,130,36,8,9,25,1,1,1,143,5,3,1,35,4,41,1,70,4,19,2,119,11,2
"North Yorkshire","2015","apr","2015-04-01","North",2,1,121,20,6,0,12,3,7,0,149,7,9,0,39,5,43,2,79,9,9,1,113,12,4
"Nottinghamshire","2015","apr","2015-04-01","East",0,0,200,82,13,7,21,5,5,8,183,22,29,2,58,7,103,6,74,16,41,11,120,14,20
"South Wales","2015","apr","2015-04-01","West",1,1,303,99,26,9,38,8,5,1,284,12,11,3,80,13,150,7,179,26,22,6,662,52,16
"South Yorkshire","2015","apr","2015-04-01","North",0,0,237,55,9,6,27,8,9,6,303,23,25,1,61,10,120,11,98,11,36,3,169,14,15
"Staffordshire","2015","apr","2015-04-01","West",4,0,151,66,17,4,22,8,5,0,171,8,9,3,39,7,59,2,59,14,31,6,163,35,6
"Suffolk","2015","apr","2015-04-01","East",0,0,130,27,2,1,4,1,6,0,98,3,5,2,34,2,34,3,44,6,4,1,99,26,4
"Surrey","2015","apr","2015-04-01","South",0,0,148,40,12,4,18,3,4,0,107,9,32,1,28,3,54,4,54,6,20,1,116,20,8
"Sussex","2015","apr","2015-04-01","South",0,0,269,79,28,13,36,6,6,1,235,20,11,0,52,10,92,6,63,7,41,9,214,26,16
"Thames Valley","2015","apr","2015-04-01","South",5,0,291,101,40,17,34,3,17,5,282,23,31,3,57,12,127,8,104,15,31,11,231,38,31
"Warwickshire","2015","apr","2015-04-01","West",1,0,78,16,4,1,10,1,2,2,55,5,4,0,10,0,10,0,13,1,21,1,76,31,3
"West Mercia","2015","apr","2015-04-01","West",2,0,165,59,17,4,23,3,4,0,139,16,11,2,44,6,57,5,51,9,24,3,152,20,6
"West Midlands","2015","apr","2015-04-01","West",4,0,540,185,51,13,58,20,49,16,583,45,26,3,86,16,183,8,129,27,99,16,322,58,30
"West Yorkshire","2015","apr","2015-04-01","North",2,1,443,122,41,10,77,14,18,2,380,38,25,3,103,17,149,11,120,27,64,11,298,49,23
"Wiltshire","2015","apr","2015-04-01","West",0,0,81,21,6,1,9,1,8,1,75,8,9,0,26,3,30,2,35,3,0,1,73,10,5
"National","2015","may","2015-05-01","All",63,12,9260,2966,838,319,1250,223,431,98,8924,722,678,118,2264,366,3794,223,3483,642,1733,333,7534,1295,712
"Avon and Somerset","2015","may","2015-05-01","West",5,1,223,75,44,9,30,2,5,1,237,10,18,5,59,5,92,6,82,14,61,13,209,46,32
"Bedfordshire","2015","may","2015-05-01","East",1,0,98,35,6,1,12,2,16,1,86,7,7,0,24,6,30,1,47,5,17,3,65,11,11
"Cambridgeshire","2015","may","2015-05-01","East",1,0,105,24,6,3,11,1,11,4,105,5,8,0,27,2,35,3,41,6,7,1,99,14,15
"Cheshire","2015","may","2015-05-01","North",1,0,241,61,25,1,31,5,3,1,213,11,13,2,54,4,111,2,70,8,47,4,180,18,9
"Cleveland","2015","may","2015-05-01","North",1,0,102,39,11,3,20,3,6,0,237,20,20,3,35,6,41,3,95,26,5,4,74,8,7
"Cumbria","2015","may","2015-05-01","North",0,0,77,14,6,0,13,1,0,0,69,4,5,0,23,4,37,1,40,1,57,3,79,15,1
"Derbyshire","2015","may","2015-05-01","East",1,0,147,53,18,3,11,5,2,6,125,11,14,3,39,10,69,0,69,16,17,5,109,20,9
"Devon and Cornwall","2015","may","2015-05-01","West",2,0,181,58,10,1,23,5,5,3,134,8,11,1,50,12,80,4,65,17,68,9,169,27,17
"Dorset","2015","may","2015-05-01","West",0,0,97,24,8,3,12,1,0,0,87,9,6,2,25,2,45,3,42,7,4,1,85,10,8
"Durham","2015","may","2015-05-01","North",0,0,122,44,10,3,15,0,2,0,125,12,3,2,39,6,16,3,54,14,12,0,77,5,0
"Dyfed Powys","2015","may","2015-05-01","West",0,0,57,16,4,4,8,2,0,0,44,7,2,0,25,1,59,4,25,4,2,0,51,16,4
"Essex","2015","may","2015-05-01","East",0,0,280,85,43,17,12,8,8,3,178,13,15,2,47,8,88,2,32,4,47,9,163,42,24
"Gloucestershire","2015","may","2015-05-01","West",0,0,70,26,1,0,16,1,0,0,93,7,6,1,18,2,17,0,13,0,14,6,51,8,11
"GreaterManchester","2015","may","2015-05-01","North",1,2,619,155,41,18,64,6,24,4,393,25,28,3,133,12,161,13,257,35,67,12,360,73,33
"Gwent","2015","may","2015-05-01","West",0,1,100,30,6,4,18,3,9,0,80,8,3,1,36,9,46,2,51,8,5,0,55,8,5
"Hampshire","2015","may","2015-05-01","South",1,1,324,82,33,7,25,11,12,1,245,10,21,1,77,12,102,11,83,17,13,5,246,23,17
"Hertfordshire","2015","may","2015-05-01","East",1,1,151,35,6,1,25,1,4,4,190,11,17,1,36,5,51,7,62,12,26,1,107,23,22
"Humberside","2015","may","2015-05-01","North",1,0,131,35,13,9,36,6,2,3,179,12,4,2,45,9,61,1,88,13,23,1,121,26,7
"Kent","2015","may","2015-05-01","South",1,0,225,68,18,14,40,11,5,2,242,33,27,3,51,12,90,4,53,19,52,9,155,20,20
"Lancashire","2015","may","2015-05-01","North",1,0,272,85,28,16,51,6,12,3,297,15,14,1,74,16,111,5,118,25,109,19,220,37,10
"Leicestershire","2015","may","2015-05-01","East",1,1,129,48,5,4,20,1,4,0,123,16,9,3,23,4,24,4,20,12,13,4,130,25,11
"Lincolnshire","2015","may","2015-05-01","East",1,0,84,27,12,0,16,2,2,0,102,14,2,0,27,6,40,1,46,9,13,3,123,17,7
"Merseyside","2015","may","2015-05-01","North",3,0,378,97,35,8,27,5,15,3,293,12,27,0,93,11,221,17,114,13,72,13,198,30,14
"Metropolitan and City","2015","may","2015-05-01","South",15,3,1295,594,142,54,209,37,112,34,1141,124,183,49,307,72,801,55,480,102,414,96,1145,311,184
"Norfolk","2015","may","2015-05-01","East",1,0,176,44,6,5,18,4,5,0,140,13,4,0,43,4,55,2,82,14,16,2,100,6,9
"Northamptonshire","2015","may","2015-05-01","East",0,0,116,39,7,4,12,4,2,1,93,6,3,0,34,5,30,2,40,7,17,1,122,10,8
"Northumbria","2015","may","2015-05-01","North",0,0,265,141,19,9,51,17,8,1,523,48,14,3,101,19,84,8,209,52,60,18,209,42,16
"North Wales","2015","may","2015-05-01","North",0,0,175,29,11,6,11,1,4,1,125,4,7,3,36,5,44,1,81,4,15,1,98,12,5
"North Yorkshire","2015","may","2015-05-01","North",3,1,105,24,4,1,23,2,2,1,148,13,11,2,23,2,39,2,55,11,14,1,110,5,3
"Nottinghamshire","2015","may","2015-05-01","East",0,0,247,89,15,3,26,4,7,4,230,22,11,1,60,14,117,3,85,19,36,10,182,24,15
"South Wales","2015","may","2015-05-01","West",1,0,270,89,27,13,54,7,9,1,304,19,12,4,60,8,132,5,174,25,8,5,599,61,15
"South Yorkshire","2015","may","2015-05-01","North",5,0,217,67,13,1,32,6,11,0,272,22,19,0,68,10,94,7,63,14,42,8,146,10,7
"Staffordshire","2015","may","2015-05-01","West",0,0,158,62,18,6,27,2,12,2,155,20,9,0,35,6,85,4,47,7,29,2,138,46,3
"Suffolk","2015","may","2015-05-01","East",2,0,150,31,6,1,5,1,0,0,78,2,2,0,26,4,32,1,52,2,12,2,88,20,5
"Surrey","2015","may","2015-05-01","South",0,0,136,29,13,3,26,2,4,0,95,10,21,2,20,4,55,3,36,6,24,11,133,20,8
"Sussex","2015","may","2015-05-01","South",0,0,244,80,30,19,26,5,21,2,256,17,14,2,49,8,84,3,73,13,39,9,195,23,27
"Thames Valley","2015","may","2015-05-01","South",3,0,265,92,32,27,26,7,10,3,279,14,29,1,61,7,98,11,104,20,33,14,242,27,19
"Warwickshire","2015","may","2015-05-01","West",1,0,42,14,7,3,12,2,2,0,69,7,2,1,9,2,19,1,19,4,19,1,70,28,6
"West Mercia","2015","may","2015-05-01","West",2,0,197,30,18,8,19,4,3,0,133,13,10,1,49,5,51,1,45,6,21,3,154,21,4
"West Midlands","2015","may","2015-05-01","West",3,1,474,156,29,10,62,18,46,7,539,53,18,7,100,8,173,9,114,17,130,10,298,54,45
"West Yorkshire","2015","may","2015-05-01","North",4,0,424,122,46,14,67,10,24,1,396,29,23,6,99,15,150,6,128,25,49,13,304,44,36
"Wiltshire","2015","may","2015-05-01","West",0,0,91,18,6,3,8,2,2,1,71,6,6,0,24,4,24,2,29,9,4,1,75,9,3
"National","2015","jun","2015-06-01","All",72,23,10524,3568,975,385,1411,281,477,112,9711,940,748,151,2431,471,4326,305,3865,709,1759,358,8644,1703,845
"Avon and Somerset","2015","jun","2015-06-01","West",6,0,267,88,39,30,25,3,11,3,278,13,17,0,67,18,112,6,93,12,40,5,225,36,32
"Bedfordshire","2015","jun","2015-06-01","East",1,0,81,28,5,3,17,0,13,1,85,6,10,2,33,6,37,3,34,9,16,7,83,10,13
"Cambridgeshire","2015","jun","2015-06-01","East",0,0,96,35,6,2,21,2,5,4,52,6,10,1,23,2,29,3,13,0,15,3,81,10,10
"Cheshire","2015","jun","2015-06-01","North",0,0,201,40,18,3,14,4,3,1,156,23,13,2,39,9,84,8,55,7,32,7,157,19,13
"Cleveland","2015","jun","2015-06-01","North",1,0,109,50,19,2,39,5,5,1,297,31,10,2,46,5,66,6,103,15,14,5,84,8,6
"Cumbria","2015","jun","2015-06-01","North",0,0,92,21,9,3,10,4,2,0,93,5,7,0,31,1,52,0,36,3,34,5,81,11,4
"Derbyshire","2015","jun","2015-06-01","East",0,1,215,67,11,7,28,4,5,2,211,13,20,1,41,11,92,7,101,26,17,6,125,14,12
"Devon and Cornwall","2015","jun","2015-06-01","West",0,0,190,73,4,3,19,7,8,0,173,10,6,2,45,4,77,5,47,10,58,2,200,23,14
"Dorset","2015","jun","2015-06-01","West",1,0,123,26,13,4,21,1,1,0,111,16,8,0,15,4,47,3,44,5,8,1,84,10,8
"Durham","2015","jun","2015-06-01","North",0,0,114,26,8,1,35,2,3,0,129,13,5,2,41,7,22,0,70,11,15,5,75,6,1
"Dyfed Powys","2015","jun","2015-06-01","West",0,0,101,21,9,2,5,0,1,0,51,3,3,0,22,3,78,2,44,7,5,1,67,13,2
"Essex","2015","jun","2015-06-01","East",2,0,249,86,37,20,23,2,11,4,158,23,12,4,56,9,67,14,38,16,28,7,195,80,20
"Gloucestershire","2015","jun","2015-06-01","West",0,0,87,24,6,1,9,0,1,0,64,4,4,1,16,0,24,1,15,4,15,1,58,6,11
"GreaterManchester","2015","jun","2015-06-01","North",2,1,705,218,59,35,83,9,30,4,495,41,48,10,185,18,169,11,196,28,93,10,477,121,28
"Gwent","2015","jun","2015-06-01","West",3,1,145,33,8,4,14,2,6,1,106,11,4,0,32,4,51,1,52,5,9,1,67,6,4
"Hampshire","2015","jun","2015-06-01","South",2,0,320,90,38,16,28,3,25,3,236,25,15,2,58,13,79,4,108,18,24,1,225,31,10
"Hertfordshire","2015","jun","2015-06-01","East",1,0,181,71,6,1,29,4,8,1,191,24,20,3,42,10,86,4,52,11,30,7,189,41,21
"Humberside","2015","jun","2015-06-01","North",0,0,206,35,26,13,23,4,8,0,203,20,11,1,34,4,60,5,87,9,30,8,126,21,11
"Kent","2015","jun","2015-06-01","South",2,0,302,105,22,12,50,7,14,5,280,61,24,2,54,16,87,7,72,11,46,14,258,50,26
"Lancashire","2015","jun","2015-06-01","North",0,0,272,88,38,9,50,8,11,1,296,23,20,6,85,9,123,7,173,24,103,12,300,38,9
"Leicestershire","2015","jun","2015-06-01","East",1,1,167,51,6,9,15,0,2,2,121,15,5,1,36,8,47,3,37,6,11,8,127,35,17
"Lincolnshire","2015","jun","2015-06-01","East",0,0,114,34,7,1,12,3,2,0,140,9,5,0,32,3,46,2,68,9,10,2,141,31,6
"Merseyside","2015","jun","2015-06-01","North",6,0,303,93,30,5,19,4,5,3,218,14,17,1,49,13,167,20,88,17,50,19,165,29,12
"Metropolitan and City","2015","jun","2015-06-01","South",15,14,1562,725,149,59,227,83,116,41,1240,183,179,55,365,73,955,86,550,144,479,117,1418,429,198
"Norfolk","2015","jun","2015-06-01","East",0,0,171,66,6,0,17,3,5,0,155,13,4,3,47,11,35,2,111,14,14,1,120,25,12
"Northamptonshire","2015","jun","2015-06-01","East",0,0,128,38,13,13,14,6,6,0,130,15,6,1,22,7,56,6,40,11,9,2,109,19,6
"Northumbria","2015","jun","2015-06-01","North",4,0,303,138,24,9,60,9,10,4,462,59,27,4,110,27,134,10,262,64,56,16,208,58,8
"North Wales","2015","jun","2015-06-01","North",1,0,198,53,16,3,16,3,1,1,140,8,4,2,36,8,48,4,45,8,10,0,88,21,2
"North Yorkshire","2015","jun","2015-06-01","North",2,1,138,18,3,0,16,1,1,1,140,8,14,3,33,6,47,5,63,6,21,2,135,11,13
"Nottinghamshire","2015","jun","2015-06-01","East",4,0,241,87,18,7,39,3,8,2,253,14,14,1,51,20,112,8,113,13,60,11,166,21,23
"South Wales","2015","jun","2015-06-01","West",1,0,346,106,27,12,52,10,13,3,323,19,25,3,86,8,156,10,153,23,19,2,643,57,8
"South Yorkshire","2015","jun","2015-06-01","North",4,0,261,89,6,1,53,7,8,2,397,26,30,4,74,14,120,3,97,19,28,2,170,22,11
"Staffordshire","2015","jun","2015-06-01","West",0,0,172,62,15,3,24,8,5,0,167,10,10,5,54,10,85,0,62,10,34,5,169,53,30
"Suffolk","2015","jun","2015-06-01","East",0,0,134,33,2,1,9,4,9,1,98,8,4,1,31,12,49,2,59,9,15,1,115,15,11
"Surrey","2015","jun","2015-06-01","South",0,0,150,50,15,4,13,1,4,0,116,12,13,0,14,10,71,9,35,5,16,6,128,7,10
"Sussex","2015","jun","2015-06-01","South",1,0,277,87,31,11,27,2,6,0,238,21,22,5,46,13,107,8,72,15,28,9,240,45,29
"Thames Valley","2015","jun","2015-06-01","South",1,0,348,145,52,25,41,18,8,3,336,32,34,3,70,10,160,10,117,28,59,27,321,57,27
"Warwickshire","2015","jun","2015-06-01","West",0,0,74,21,5,1,9,0,3,1,64,5,1,0,18,6,20,0,22,2,11,2,82,19,22
"West Mercia","2015","jun","2015-06-01","West",2,0,181,54,26,5,15,4,7,2,171,10,8,1,45,9,71,0,62,11,27,0,173,21,18
"West Midlands","2015","jun","2015-06-01","West",5,3,577,190,60,21,94,21,68,10,662,45,21,5,109,21,196,10,191,23,116,13,378,82,89
"West Yorkshire","2015","jun","2015-06-01","North",4,1,518,187,72,24,88,17,18,5,380,42,34,9,110,25,173,10,146,34,49,5,305,85,34
"Wiltshire","2015","jun","2015-06-01","West",0,0,105,16,11,0,8,3,1,0,95,1,4,3,28,4,29,0,39,7,5,0,86,7,4
"National","2015","jul","2015-07-01","All",76,16,10958,3547,981,437,1430,288,446,144,9248,866,822,150,2530,449,4402,294,3875,725,1700,387,8936,1585,1051
"Avon and Somerset","2015","jul","2015-07-01","West",7,0,300,89,52,18,30,1,8,1,246,16,18,3,81,11,121,12,98,19,52,15,196,40,24
"Bedfordshire","2015","jul","2015-07-01","East",0,0,93,26,4,3,16,2,5,0,89,5,23,1,29,6,32,3,31,9,8,8,72,7,21
"Cambridgeshire","2015","jul","2015-07-01","East",0,0,154,30,12,2,12,3,7,5,87,10,7,1,40,6,58,3,19,3,17,7,103,8,20
"Cheshire","2015","jul","2015-07-01","North",1,0,262,44,27,3,26,4,3,1,187,13,14,1,62,5,80,2,72,14,22,5,143,15,8
"Cleveland","2015","jul","2015-07-01","North",0,0,120,40,10,7,36,4,14,3,243,17,12,0,51,11,41,2,80,23,9,7,68,6,6
"Cumbria","2015","jul","2015-07-01","North",0,0,117,18,7,1,16,2,3,0,81,6,14,1,42,1,45,4,16,2,42,3,89,15,2
"Derbyshire","2015","jul","2015-07-01","East",0,0,198,59,26,3,28,2,10,3,141,21,11,4,52,10,71,5,85,11,14,6,110,22,16
"Devon and Cornwall","2015","jul","2015-07-01","West",0,0,185,53,12,1,20,0,0,0,148,9,9,2,61,6,64,3,54,16,71,16,249,22,20
"Dorset","2015","jul","2015-07-01","West",0,0,149,41,13,5,10,3,2,0,137,6,10,0,26,5,51,2,62,7,4,1,90,13,15
"Durham","2015","jul","2015-07-01","North",1,0,106,39,6,10,19,2,2,0,98,13,8,1,35,8,16,0,57,5,11,2,86,6,3
"Dyfed Powys","2015","jul","2015-07-01","West",0,0,95,40,9,7,7,2,0,0,59,2,5,1,27,5,81,4,33,5,3,1,87,21,9
"Essex","2015","jul","2015-07-01","East",4,0,293,123,45,17,37,10,24,12,206,16,34,5,63,10,81,9,49,6,30,13,236,70,41
"Gloucestershire","2015","jul","2015-07-01","West",0,0,68,28,4,0,11,1,5,0,84,4,3,0,28,5,24,1,15,2,13,4,55,3,7
